,0,1
64,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/P08226
65,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/G3UZM8
66,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/G3UWN5
67,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/G3UWW2
68,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3TX45
69,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3UBS0
70,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3TXU4
71,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3UEE7
72,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3UF21
73,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q4FK40
74,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q6GTX3
75,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q8C6E4
76,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A2APX3
77,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/P21460
78,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3U5K7
79,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q9EPX9
80,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A0A1D5RLN7
81,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A0A1D5RMG1
82,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/P02802
83,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3U340
84,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A0A0G2JFH7
85,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/P70663
86,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3TYD5
87,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3UYK7
88,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A0A1D5RLC3
